,Hardware machine types,,,
,HW MT,Base Unit Model,Expansion Unit MT / Model,Expansion Unit Quantity
,2107.0,921.0,2107-92E,1.0
,2107.0,921.0,2421-92E,1.0
,2107.0,921.0,2421-94E,1.0
,2107.0,921.0,2421-95E,1.0
,2107.0,921.0,2421-96E,1.0,,,,,
,2107.0,921.0,2422-92E,1.0
,2107.0,921.0,2422-94E,1.0
,2107.0,921.0,2422-95E,1.0
,2107.0,921.0,2422-96E,1.0,,,,,
,2107.0,921.0,2423-92E,1.0
,2107.0,921.0,2423-94E,1.0
,2107.0,921.0,2423-95E,1.0
,2107.0,921.0,2423-96E,1.0,,,,,
,2107.0,921.0,2424-92E,1.0
,2107.0,921.0,2424-94E,1.0
,2107.0,921.0,2424-95E,1.0
,2107.0,921.0,2424-96E,1.0,,,,,
,2107.0,922.0,2107-92E,4.0
,2107.0,922.0,2421-92E,4.0
,2107.0,922.0,2421-94E,4.0
,2107.0,922.0,2421-95E,4.0
,2107.0,922.0,2421-96E,4.0,,,,,
,2107.0,922.0,2422-92E,4.0
,2107.0,922.0,2422-94E,4.0
,2107.0,922.0,2422-95E,4.0
,2107.0,922.0,2422-96E,4.0,,,,,
,2107.0,922.0,2423-92E,4.0
,2107.0,922.0,2423-94E,4.0
,2107.0,922.0,2423-95E,4.0
,2107.0,922.0,2423-96E,4.0,,,,,
,2107.0,922.0,2424-92E,4.0
,2107.0,922.0,2424-94E,4.0
,2107.0,922.0,2424-95E,4.0
,2107.0,922.0,2424-96E,4.0,,,,,
,2107.0,931.0,2107-92E,1.0
,2107.0,931.0,2421-92E,1.0
,2107.0,931.0,2421-94E,1.0
,2107.0,931.0,2421-95E,1.0
,2107.0,931.0,2421-96E,1.0,,,,,
,2107.0,931.0,2422-92E,1.0
,2107.0,931.0,2422-94E,1.0
,2107.0,931.0,2422-95E,1.0
,2107.0,931.0,2422-96E,1.0,,,,,
,2107.0,931.0,2423-92E,1.0
,2107.0,931.0,2423-94E,1.0
,2107.0,931.0,2423-95E,1.0
,2107.0,931.0,2423-96E,1.0,,,,,
,2107.0,931.0,2424-92E,1.0
,2107.0,931.0,2424-94E,1.0
,2107.0,931.0,2424-95E,1.0
,2107.0,931.0,2424-96E,1.0,,,,,
,2421.0,931.0,2107-92E,1.0
,2421.0,931.0,2421-92E,1.0
,2421.0,931.0,2421-94E,1.0
,2421.0,931.0,2421-95E,1.0
,2421.0,931.0,2421-96E,1.0,,,,,
,2421.0,931.0,2422-92E,1.0
,2421.0,931.0,2422-94E,1.0
,2421.0,931.0,2422-95E,1.0
,2421.0,931.0,2422-96E,1.0,,,,,
,2421.0,931.0,2423-92E,1.0
,2421.0,931.0,2423-94E,1.0
,2421.0,931.0,2423-95E,1.0
,2421.0,931.0,2423-96E,1.0,,,,,
,2421.0,931.0,2424-92E,1.0
,2421.0,931.0,2424-94E,1.0
,2421.0,931.0,2424-95E,1.0
,2421.0,931.0,2424-96E,1.0,,,,,
,2422.0,931.0,2107-92E,1.0
,2422.0,931.0,2421-92E,1.0
,2422.0,931.0,2421-94E,1.0
,2422.0,931.0,2421-95E,1.0
,2422.0,931.0,2421-96E,1.0,,,,,
,2422.0,931.0,2422-92E,1.0
,2422.0,931.0,2422-94E,1.0
,2422.0,931.0,2422-95E,1.0
,2422.0,931.0,2422-96E,1.0,,,,,
,2422.0,931.0,2423-92E,1.0
,2422.0,931.0,2423-94E,1.0
,2422.0,931.0,2423-95E,1.0
,2422.0,931.0,2423-96E,1.0,,,,,
,2422.0,931.0,2424-92E,1.0
,2422.0,931.0,2424-94E,1.0
,2422.0,931.0,2424-95E,1.0
,2422.0,931.0,2424-96E,1.0,,,,,
,2423.0,931.0,2107-92E,1.0
,2423.0,931.0,2421-92E,1.0
,2423.0,931.0,2421-94E,1.0
,2423.0,931.0,2421-95E,1.0
,2423.0,931.0,2421-96E,1.0,,,,,
,2423.0,931.0,2422-92E,1.0
,2423.0,931.0,2422-94E,1.0
,2423.0,931.0,2422-95E,1.0
,2423.0,931.0,2422-96E,1.0,,,,,
,2423.0,931.0,2423-92E,1.0
,2423.0,931.0,2423-94E,1.0
,2423.0,931.0,2423-95E,1.0
,2423.0,931.0,2423-96E,1.0,,,,,
,2423.0,931.0,2424-92E,1.0
,2423.0,931.0,2424-94E,1.0
,2423.0,931.0,2424-95E,1.0
,2423.0,931.0,2424-96E,1.0,,,,,
,2424.0,931.0,2107-92E,1.0
,2424.0,931.0,2421-92E,1.0
,2424.0,931.0,2421-94E,1.0
,2424.0,931.0,2421-95E,1.0
,2424.0,931.0,2421-96E,1.0,,,,,
,2424.0,931.0,2422-92E,1.0
,2424.0,931.0,2422-94E,1.0
,2424.0,931.0,2422-95E,1.0
,2424.0,931.0,2422-96E,1.0,,,,,
,2424.0,931.0,2423-92E,1.0
,2424.0,931.0,2423-94E,1.0
,2424.0,931.0,2423-95E,1.0
,2424.0,931.0,2423-96E,1.0,,,,,
,2424.0,931.0,2424-92E,1.0
,2424.0,931.0,2424-94E,1.0
,2424.0,931.0,2424-95E,1.0
,2424.0,931.0,2424-96E,1.0,,,,,
,2107.0,932.0,2107-92E,4.0
,2107.0,932.0,2421-92E,4.0
,2107.0,932.0,2421-94E,4.0
,2107.0,932.0,2421-95E,4.0
,2107.0,932.0,2421-96E,4.0,,,,,
,2107.0,932.0,2422-92E,4.0
,2107.0,932.0,2422-94E,4.0
,2107.0,932.0,2422-95E,4.0
,2107.0,932.0,2422-96E,4.0,,,,,
,2107.0,932.0,2423-92E,4.0
,2107.0,932.0,2423-94E,4.0
,2107.0,932.0,2423-95E,4.0
,2107.0,932.0,2423-96E,4.0,,,,,
,2107.0,932.0,2424-92E,4.0
,2107.0,932.0,2424-94E,4.0
,2107.0,932.0,2424-95E,4.0
,2107.0,932.0,2424-96E,4.0,,,,,
,2421.0,932.0,2107-92E,4.0
,2421.0,932.0,2421-92E,4.0
,2421.0,932.0,2421-94E,4.0
,2421.0,932.0,2421-95E,4.0
,2421.0,932.0,2421-96E,4.0,,,,,
,2421.0,932.0,2422-92E,4.0
,2421.0,932.0,2422-94E,4.0
,2421.0,932.0,2422-95E,4.0
,2421.0,932.0,2422-96E,4.0,,,,,
,2421.0,932.0,2423-92E,4.0
,2421.0,932.0,2423-94E,4.0
,2421.0,932.0,2423-95E,4.0
,2421.0,932.0,2423-96E,4.0,,,,,
,2421.0,932.0,2424-92E,4.0
,2421.0,932.0,2424-94E,4.0
,2421.0,932.0,2424-95E,4.0
,2421.0,932.0,2424-96E,4.0,,,,,
,2422.0,932.0,2107-92E,4.0
,2422.0,932.0,2421-92E,4.0
,2422.0,932.0,2421-94E,4.0
,2422.0,932.0,2421-95E,4.0
,2422.0,932.0,2421-96E,4.0,,,,,
,2422.0,932.0,2422-92E,4.0
,2422.0,932.0,2422-94E,4.0
,2422.0,932.0,2422-95E,4.0
,2422.0,932.0,2422-96E,4.0,,,,,
,2422.0,932.0,2423-92E,4.0
,2422.0,932.0,2423-94E,4.0
,2422.0,932.0,2423-95E,4.0
,2422.0,932.0,2423-96E,4.0,,,,,
,2422.0,932.0,2424-92E,4.0
,2422.0,932.0,2424-94E,4.0
,2422.0,932.0,2424-95E,4.0
,2422.0,932.0,2424-96E,4.0,,,,,
,2423.0,932.0,2107-92E,4.0
,2423.0,932.0,2421-92E,4.0
,2423.0,932.0,2421-94E,4.0
,2423.0,932.0,2421-95E,4.0
,2423.0,932.0,2421-96E,4.0,,,,,
,2423.0,932.0,2422-92E,4.0
,2423.0,932.0,2422-94E,4.0
,2423.0,932.0,2422-95E,4.0
,2423.0,932.0,2422-96E,4.0,,,,,
,2423.0,932.0,2423-92E,4.0
,2423.0,932.0,2423-94E,4.0
,2423.0,932.0,2423-95E,4.0
,2423.0,932.0,2423-96E,4.0,,,,,
,2423.0,932.0,2424-92E,4.0
,2423.0,932.0,2424-94E,4.0
,2423.0,932.0,2424-95E,4.0
,2423.0,932.0,2424-96E,4.0,,,,,
,2424.0,932.0,2107-92E,4.0
,2424.0,932.0,2421-92E,4.0
,2424.0,932.0,2421-94E,4.0
,2424.0,932.0,2421-95E,4.0
,2424.0,932.0,2421-96E,4.0,,,,,
,2424.0,932.0,2422-92E,4.0
,2424.0,932.0,2422-94E,4.0
,2424.0,932.0,2422-95E,4.0
,2424.0,932.0,2422-96E,4.0,,,,,
,2424.0,932.0,2423-92E,4.0
,2424.0,932.0,2423-94E,4.0
,2424.0,932.0,2423-95E,4.0
,2424.0,932.0,2423-96E,4.0,,,,,
,2424.0,932.0,2424-92E,4.0
,2424.0,932.0,2424-94E,4.0
,2424.0,932.0,2424-95E,4.0
,2424.0,932.0,2424-96E,4.0,,,,,
,2421.0,941.0,2107-92E,4.0
,2421.0,941.0,2421-92E,4.0
,2421.0,941.0,2421-94E,4.0
,2421.0,941.0,2421-95E,4.0
,2421.0,941.0,2421-96E,4.0,,,,,
,2421.0,941.0,2422-92E,4.0
,2421.0,941.0,2422-94E,4.0
,2421.0,941.0,2422-95E,4.0
,2421.0,941.0,2422-96E,4.0,,,,,
,2421.0,941.0,2423-92E,4.0
,2421.0,941.0,2423-94E,4.0
,2421.0,941.0,2423-95E,4.0
,2421.0,941.0,2423-96E,4.0,,,,,
,2421.0,941.0,2424-92E,4.0
,2421.0,941.0,2424-94E,4.0
,2421.0,941.0,2424-95E,4.0
,2421.0,941.0,2424-96E,4.0,,,,,
,2422.0,941.0,2107-92E,4.0
,2422.0,941.0,2421-92E,4.0
,2422.0,941.0,2421-94E,4.0
,2422.0,941.0,2421-95E,4.0
,2422.0,941.0,2421-96E,4.0,,,,,
,2422.0,941.0,2422-92E,4.0
,2422.0,941.0,2422-94E,4.0
,2422.0,941.0,2422-95E,4.0
,2422.0,941.0,2422-96E,4.0,,,,,
,2422.0,941.0,2423-92E,4.0
,2422.0,941.0,2423-94E,4.0
,2422.0,941.0,2423-95E,4.0
,2422.0,941.0,2423-96E,4.0,,,,,
,2422.0,941.0,2424-92E,4.0
,2422.0,941.0,2424-94E,4.0
,2422.0,941.0,2424-95E,4.0
,2422.0,941.0,2424-96E,4.0,,,,,
,2423.0,941.0,2107-92E,4.0
,2423.0,941.0,2421-92E,4.0
,2423.0,941.0,2421-94E,4.0
,2423.0,941.0,2421-95E,4.0
,2423.0,941.0,2421-96E,4.0,,,,,
,2423.0,941.0,2422-92E,4.0
,2423.0,941.0,2422-94E,4.0
,2423.0,941.0,2422-95E,4.0
,2423.0,941.0,2422-96E,4.0,,,,,
,2423.0,941.0,2423-92E,4.0
,2423.0,941.0,2423-94E,4.0
,2423.0,941.0,2423-95E,4.0
,2423.0,941.0,2423-96E,4.0,,,,,
,2423.0,941.0,2424-92E,4.0
,2423.0,941.0,2424-94E,4.0
,2423.0,941.0,2424-95E,4.0
,2423.0,941.0,2424-96E,4.0,,,,,
,2424.0,941.0,2107-92E,4.0
,2424.0,941.0,2421-92E,4.0
,2424.0,941.0,2421-94E,4.0
,2424.0,941.0,2421-95E,4.0
,2424.0,941.0,2421-96E,4.0,,,,,
,2424.0,941.0,2422-92E,4.0
,2424.0,941.0,2422-94E,4.0
,2424.0,941.0,2422-95E,4.0
,2424.0,941.0,2422-96E,4.0,,,,,
,2424.0,941.0,2423-92E,4.0
,2424.0,941.0,2423-94E,4.0
,2424.0,941.0,2423-95E,4.0
,2424.0,941.0,2423-96E,4.0,,,,,
,2424.0,941.0,2424-92E,4.0
,2424.0,941.0,2424-94E,4.0
,2424.0,941.0,2424-95E,4.0
,2424.0,941.0,2424-96E,4.0,,,,,
,2421.0,951.0,2107-92E,4.0
,2421.0,951.0,2421-92E,4.0
,2421.0,951.0,2421-94E,4.0
,2421.0,951.0,2421-95E,4.0
,2421.0,951.0,2421-96E,4.0,,,,,
,2421.0,951.0,2422-92E,4.0
,2421.0,951.0,2422-94E,4.0
,2421.0,951.0,2422-95E,4.0
,2421.0,951.0,2422-96E,4.0,,,,,
,2421.0,951.0,2423-92E,4.0
,2421.0,951.0,2423-94E,4.0
,2421.0,951.0,2423-95E,4.0
,2421.0,951.0,2423-96E,4.0,,,,,
,2421.0,951.0,2424-92E,4.0
,2421.0,951.0,2424-94E,4.0
,2421.0,951.0,2424-95E,4.0
,2421.0,951.0,2424-96E,4.0,,,,,
,2422.0,951.0,2107-92E,4.0
,2422.0,951.0,2421-92E,4.0
,2422.0,951.0,2421-94E,4.0
,2422.0,951.0,2421-95E,4.0
,2422.0,951.0,2421-96E,4.0,,,,,
,2422.0,951.0,2422-92E,4.0
,2422.0,951.0,2422-94E,4.0
,2422.0,951.0,2422-95E,4.0
,2422.0,951.0,2422-96E,4.0,,,,,
,2422.0,951.0,2423-92E,4.0
,2422.0,951.0,2423-94E,4.0
,2422.0,951.0,2423-95E,4.0
,2422.0,951.0,2423-96E,4.0,,,,,
,2422.0,951.0,2424-92E,4.0
,2422.0,951.0,2424-94E,4.0
,2422.0,951.0,2424-95E,4.0
,2422.0,951.0,2424-96E,4.0,,,,,
,2423.0,951.0,2107-92E,4.0
,2423.0,951.0,2421-92E,4.0
,2423.0,951.0,2421-94E,4.0
,2423.0,951.0,2421-95E,4.0
,2423.0,951.0,2421-96E,4.0,,,,,
,2423.0,951.0,2422-92E,4.0
,2423.0,951.0,2422-94E,4.0
,2423.0,951.0,2422-95E,4.0
,2423.0,951.0,2422-96E,4.0,,,,,
,2423.0,951.0,2423-92E,4.0
,2423.0,951.0,2423-94E,4.0
,2423.0,951.0,2423-95E,4.0
,2423.0,951.0,2423-96E,4.0,,,,,
,2423.0,951.0,2424-92E,4.0
,2423.0,951.0,2424-94E,4.0
,2423.0,951.0,2424-95E,4.0
,2423.0,951.0,2424-96E,4.0,,,,,
,2424.0,951.0,2107-92E,4.0
,2424.0,951.0,2421-92E,4.0
,2424.0,951.0,2421-94E,4.0
,2424.0,951.0,2421-95E,4.0
,2424.0,951.0,2421-96E,4.0,,,,,
,2424.0,951.0,2422-92E,4.0
,2424.0,951.0,2422-94E,4.0
,2424.0,951.0,2422-95E,4.0
,2424.0,951.0,2422-96E,4.0,,,,,
,2424.0,951.0,2423-92E,4.0
,2424.0,951.0,2423-94E,4.0
,2424.0,951.0,2423-95E,4.0
,2424.0,951.0,2423-96E,4.0,,,,,
,2424.0,951.0,2424-92E,4.0
,2424.0,951.0,2424-94E,4.0
,2424.0,951.0,2424-95E,4.0
,2424.0,951.0,2424-96E,4.0,,,,,
,2421.0,961.0,2107-92E,4.0,,,,,
,2421.0,961.0,2421-92E,4.0,,,,,
,2421.0,961.0,2421-94E,4.0,,,,,
,2421.0,961.0,2421-95E,4.0,,,,,
,2421.0,961.0,2421-96E,4.0,,,,,
,2421.0,961.0,2422-92E,4.0,,,,,
,2421.0,961.0,2422-94E,4.0,,,,,
,2421.0,961.0,2422-95E,4.0,,,,,
,2421.0,961.0,2422-96E,4.0,,,,,
,2421.0,961.0,2423-92E,4.0,,,,,
,2421.0,961.0,2423-94E,4.0,,,,,
,2421.0,961.0,2423-95E,4.0,,,,,
,2421.0,961.0,2423-96E,4.0,,,,,
,2421.0,961.0,2424-92E,4.0,,,,,
,2421.0,961.0,2424-94E,4.0,,,,,
,2421.0,961.0,2424-95E,4.0,,,,,
,2421.0,961.0,2424-96E,4.0,,,,,
,2422.0,961.0,2107-92E,4.0,,,,,
,2422.0,961.0,2421-92E,4.0,,,,,
,2422.0,961.0,2421-94E,4.0,,,,,
,2422.0,961.0,2421-95E,4.0,,,,,
,2422.0,961.0,2421-96E,4.0,,,,,
,2422.0,961.0,2422-92E,4.0,,,,,
,2422.0,961.0,2422-94E,4.0,,,,,
,2422.0,961.0,2422-95E,4.0,,,,,
,2422.0,961.0,2422-96E,4.0,,,,,
,2422.0,961.0,2423-92E,4.0,,,,,
,2422.0,961.0,2423-94E,4.0,,,,,
,2422.0,961.0,2423-95E,4.0,,,,,
,2422.0,961.0,2423-96E,4.0,,,,,
,2422.0,961.0,2424-92E,4.0,,,,,
,2422.0,961.0,2424-94E,4.0,,,,,
,2422.0,961.0,2424-95E,4.0,,,,,
,2422.0,961.0,2424-96E,4.0,,,,,
,2423.0,961.0,2107-92E,4.0,,,,,
,2423.0,961.0,2421-92E,4.0,,,,,
,2423.0,961.0,2421-94E,4.0,,,,,
,2423.0,961.0,2421-95E,4.0,,,,,
,2423.0,961.0,2421-96E,4.0,,,,,
,2423.0,961.0,2422-92E,4.0,,,,,
,2423.0,961.0,2422-94E,4.0,,,,,
,2423.0,961.0,2422-95E,4.0,,,,,
,2423.0,961.0,2422-96E,4.0,,,,,
,2423.0,961.0,2423-92E,4.0,,,,,
,2423.0,961.0,2423-94E,4.0,,,,,
,2423.0,961.0,2423-95E,4.0,,,,,
,2423.0,961.0,2423-96E,4.0,,,,,
,2423.0,961.0,2424-92E,4.0,,,,,
,2423.0,961.0,2424-94E,4.0,,,,,
,2423.0,961.0,2424-95E,4.0,,,,,
,2423.0,961.0,2424-96E,4.0,,,,,
,2424.0,961.0,2107-92E,4.0,,,,,
,2424.0,961.0,2421-92E,4.0,,,,,
,2424.0,961.0,2421-94E,4.0,,,,,
,2424.0,961.0,2421-95E,4.0,,,,,
,2424.0,961.0,2421-96E,4.0,,,,,
,2424.0,961.0,2422-92E,4.0,,,,,
,2424.0,961.0,2422-94E,4.0,,,,,
,2424.0,961.0,2422-95E,4.0,,,,,
,2424.0,961.0,2422-96E,4.0,,,,,
,2424.0,961.0,2423-92E,4.0,,,,,
,2424.0,961.0,2423-94E,4.0,,,,,
,2424.0,961.0,2423-95E,4.0,,,,,
,2424.0,961.0,2423-96E,4.0,,,,,
,2424.0,961.0,2424-92E,4.0,,,,,
,2424.0,961.0,2424-94E,4.0,,,,,
,2424.0,961.0,2424-95E,4.0,,,,,
,2424.0,961.0,2424-96E,4.0,,,,,
,2107.0,9A2,2107-9AE,4.0
,2107.0,9A2,2421-9AE,4.0
,2107.0,9A2,2422-9AE,4.0
,2107.0,9A2,2423-9AE,4.0
,2107.0,9A2,2424-9AE,4.0
,2107.0,9B2,2107-9AE,4.0
,2107.0,9B2,2421-9AE,4.0
,2107.0,9B2,2422-9AE,4.0
,2107.0,9B2,2423-9AE,4.0
,2107.0,9B2,2424-9AE,4.0
,2421.0,9B2,2107-9AE,4.0
,2421.0,9B2,2421-9AE,4.0
,2421.0,9B2,2422-9AE,4.0
,2421.0,9B2,2423-9AE,4.0
,2421.0,9B2,2424-9AE,4.0
,2422.0,9B2,2107-9AE,4.0
,2422.0,9B2,2421-9AE,4.0
,2422.0,9B2,2422-9AE,4.0
,2422.0,9B2,2423-9AE,4.0
,2422.0,9B2,2424-9AE,4.0
,2423.0,9B2,2107-9AE,4.0
,2423.0,9B2,2421-9AE,4.0
,2423.0,9B2,2422-9AE,4.0
,2423.0,9B2,2423-9AE,4.0
,2423.0,9B2,2424-9AE,4.0
,2424.0,9B2,2107-9AE,4.0
,2424.0,9B2,2421-9AE,4.0
,2424.0,9B2,2422-9AE,4.0
,2424.0,9B2,2423-9AE,4.0
,2424.0,9B2,2424-9AE,4.0







,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
